N,nx,nu,qp_solver,time_tot
20,6,5,PARTIAL_CONDENSING_HPIPM,"[0.000173, 0.000209, 6.4e-05, 6.1e-05, 6.1e-05, 6.7e-05, 6.1e-05, 6.1e-05, 6.1e-05, 6.1e-05, 6.7e-05, 6.1e-05, 6.1e-05, 6.1e-05, 6.1e-05, 0.000137, 0.000124, 6.5e-05, 6.3e-05, 6.2e-05, 6.2e-05, 6.2e-05, 6.2e-05, 6.1e-05, 6.1e-05, 6.1e-05, 6.1e-05, 6.3e-05, 6e-05, 6e-05, 6e-05, 7.2e-05, 6.1e-05, 6e-05, 6e-05, 6.1e-05, 7e-05, 6.1e-05, 6.1e-05, 6e-05, 6e-05, 6.9e-05, 6e-05, 6e-05, 6e-05, 6e-05, 7e-05, 6e-05, 6.1e-05, 6e-05]"
20,6,5,FULL_CONDENSING_HPIPM,"[0.000194, 8e-05, 7.7e-05, 8.4e-05, 7.6e-05, 7.7e-05, 7.6e-05, 7.7e-05, 0.00023, 0.000104, 8.1e-05, 8.2e-05, 8.1e-05, 8e-05, 8.1e-05, 7.9e-05, 7.9e-05, 7.9e-05, 8.5e-05, 8.1e-05, 8.3e-05, 0.000102, 8.1e-05, 7.7e-05, 7.7e-05, 7.7e-05, 7.9e-05, 0.000119, 0.00013, 9.6e-05, 0.000119, 8.4e-05, 7.8e-05, 7.9e-05, 7.7e-05, 7.7e-05, 7.7e-05, 9.9e-05, 8e-05, 7.7e-05, 7.7e-05, 8.6e-05, 7.8e-05, 7.7e-05, 7.8e-05, 7.7e-05, 7.9e-05, 0.000125, 8.3e-05, 7.8e-05]"
20,7,5,PARTIAL_CONDENSING_HPIPM,"[9.2e-05, 6.4e-05, 6.2e-05, 6.2e-05, 6.5e-05, 6.1e-05, 6e-05, 0.000108, 0.000108, 6.5e-05, 6.1e-05, 6e-05, 6.1e-05, 6e-05, 6e-05, 6e-05, 6e-05, 6.3e-05, 6e-05, 6e-05, 6e-05, 6e-05, 0.000143, 0.000121, 7.1e-05, 6.1e-05, 6e-05, 6e-05, 6.2e-05, 6.1e-05, 6e-05, 6e-05, 5.9e-05, 6.5e-05, 6.1e-05, 6e-05, 6e-05, 6e-05, 7.8e-05, 7.1e-05, 9.5e-05, 7e-05, 6.3e-05, 6.2e-05, 6.2e-05, 7.3e-05, 6.4e-05, 6.1e-05, 6e-05, 6e-05]"
20,7,5,FULL_CONDENSING_HPIPM,"[0.000112, 0.000191, 0.000185, 0.000169, 7.5e-05, 8e-05, 7.5e-05, 7.5e-05, 7.4e-05, 7.4e-05, 7.5e-05, 7.4e-05, 7.5e-05, 7.4e-05, 7.5e-05, 7.7e-05, 7.5e-05, 8.9e-05, 7.6e-05, 9.5e-05, 7.6e-05, 7.5e-05, 7.5e-05, 7.4e-05, 7.9e-05, 7.5e-05, 7.6e-05, 7.6e-05, 7.5e-05, 7.8e-05, 7.4e-05, 7.6e-05, 7.4e-05, 8.5e-05, 7.6e-05, 7.4e-05, 7.5e-05, 7.5e-05, 9.3e-05, 7.5e-05, 7.5e-05, 7.5e-05, 7.5e-05, 7.7e-05, 7.5e-05, 7.5e-05, 7.5e-05, 8.2e-05, 7.7e-05, 7.6e-05]"
20,8,5,PARTIAL_CONDENSING_HPIPM,"[0.000192, 7.2e-05, 7e-05, 7e-05, 6.9e-05, 7e-05, 6.9e-05, 7e-05, 6.9e-05, 8.1e-05, 7e-05, 0.000159, 0.00015, 0.000137, 7.3e-05, 7e-05, 6.9e-05, 7e-05, 6.9e-05, 0.000156, 0.000141, 0.000144, 7.1e-05, 7e-05, 7e-05, 7.8e-05, 7.1e-05, 7e-05, 6.9e-05, 6.9e-05, 8.8e-05, 6.9e-05, 7e-05, 7e-05, 7e-05, 7.2e-05, 7e-05, 7e-05, 7e-05, 7.1e-05, 7e-05, 6.9e-05, 6.9e-05, 6.9e-05, 8e-05, 6.9e-05, 6.9e-05, 6.8e-05, 6.8e-05, 7.9e-05]"
20,8,5,FULL_CONDENSING_HPIPM,"[0.00012, 8.9e-05, 8.6e-05, 8.6e-05, 8.5e-05, 8.6e-05, 8.6e-05, 0.000109, 9.5e-05, 0.000101, 0.000109, 0.000102, 9.8e-05, 0.000102, 9.8e-05, 9.4e-05, 0.000123, 9e-05, 8.8e-05, 8.8e-05, 9e-05, 8.7e-05, 8.6e-05, 8.5e-05, 9.1e-05, 8.6e-05, 8.6e-05, 8.5e-05, 9.9e-05, 8.6e-05, 8.5e-05, 8.4e-05, 8.6e-05, 9.8e-05, 8.5e-05, 8.5e-05, 8.5e-05, 8.5e-05, 8.6e-05, 8.5e-05, 8.5e-05, 9.7e-05, 0.000104, 8.5e-05, 8.5e-05, 8.4e-05, 8.5e-05, 8.6e-05, 8.4e-05, 8.5e-05]"
20,9,5,PARTIAL_CONDENSING_HPIPM,"[0.00011, 7.8e-05, 7.6e-05, 7.4e-05, 7.4e-05, 7.5e-05, 7.4e-05, 7.5e-05, 7.3e-05, 7.9e-05, 7.3e-05, 7.4e-05, 7.3e-05, 7.4e-05, 8.1e-05, 9.3e-05, 8e-05, 7.6e-05, 7.6e-05, 7.4e-05, 7.5e-05, 7.4e-05, 8e-05, 7.5e-05, 7.4e-05, 7.4e-05, 7.4e-05, 8.1e-05, 7.4e-05, 7.4e-05, 7.4e-05, 7.4e-05, 7.5e-05, 7.4e-05, 7.4e-05, 7.4e-05, 7.4e-05, 7.6e-05, 7.4e-05, 7.4e-05, 7.5e-05, 8.6e-05, 7.5e-05, 7.4e-05, 7.4e-05, 7.5e-05, 7.9e-05, 7.4e-05, 7.4e-05, 0.000117]"
20,9,5,FULL_CONDENSING_HPIPM,"[0.000139, 0.000104, 9.6e-05, 9.5e-05, 9.5e-05, 9.9e-05, 9.4e-05, 0.0001, 9.3e-05, 0.0001, 9.8e-05, 9.3e-05, 9.3e-05, 9.3e-05, 9.4e-05, 9.3e-05, 9.4e-05, 9.5e-05, 9.6e-05, 9.4e-05, 9.4e-05, 9.3e-05, 9.5e-05, 9.4e-05, 9.7e-05, 9.4e-05, 9.6e-05, 9.4e-05, 9.4e-05, 9.4e-05, 9.6e-05, 9.5e-05, 9.5e-05, 9.5e-05, 0.0001, 9.4e-05, 9.4e-05, 9.4e-05, 0.000108, 9.4e-05, 9.3e-05, 9.3e-05, 9.4e-05, 9.5e-05, 9.4e-05, 9.3e-05, 9.4e-05, 9.5e-05, 9.4e-05, 9.5e-05]"
20,10,5,PARTIAL_CONDENSING_HPIPM,"[0.000144, 9.3e-05, 8.6e-05, 0.000128, 0.000124, 8.3e-05, 8.2e-05, 0.000105, 8.5e-05, 8.8e-05, 8.3e-05, 8.2e-05, 0.00017, 8.6e-05, 8.6e-05, 8.7e-05, 8.9e-05, 8.3e-05, 8e-05, 0.000103, 8.5e-05, 8.2e-05, 8.3e-05, 8.1e-05, 9.8e-05, 9e-05, 8.7e-05, 8.6e-05, 8e-05, 7.9e-05, 8e-05, 8e-05, 8e-05, 7.9e-05, 8e-05, 7.9e-05, 8.9e-05, 8.1e-05, 8e-05, 7.9e-05, 8e-05, 8.2e-05, 8e-05, 7.9e-05, 7.9e-05, 8e-05, 8e-05, 8e-05, 7.9e-05, 8e-05]"
20,10,5,FULL_CONDENSING_HPIPM,"[0.000245, 0.00013, 0.000123, 0.000108, 0.00011, 0.000109, 0.000109, 0.000104, 0.000106, 0.000107, 0.000103, 0.000101, 0.0001, 0.000101, 0.000101, 0.0001, 9.9e-05, 0.000111, 0.0001, 0.0001, 0.000101, 0.000107, 0.0001, 9.8e-05, 9.7e-05, 0.000105, 9.8e-05, 9.9e-05, 0.0001, 0.000105, 9.9e-05, 9.9e-05, 9.9e-05, 0.000135, 0.000114, 0.000102, 0.000101, 0.000107, 0.000101, 9.9e-05, 9.9e-05, 0.0001, 9.9e-05, 9.8e-05, 9.9e-05, 0.0001, 9.8e-05, 9.8e-05, 0.000178, 0.000105]"
20,20,5,PARTIAL_CONDENSING_HPIPM,"[0.000308, 0.000184, 0.000165, 0.000157, 0.000167, 0.000156, 0.000161, 0.00016, 0.000153, 0.000161, 0.000163, 0.000149, 0.000149, 0.000154, 0.00015, 0.000148, 0.000148, 0.000151, 0.000148, 0.000148, 0.000158, 0.000149, 0.000147, 0.000147, 0.000149, 0.000147, 0.000147, 0.000156, 0.000147, 0.000146, 0.000149, 0.00015, 0.000148, 0.000148, 0.000156, 0.000149, 0.000148, 0.000161, 0.00015, 0.000147, 0.000146, 0.000159, 0.000147, 0.000146, 0.000158, 0.000149, 0.000146, 0.000147, 0.000148, 0.000146]"
20,20,5,FULL_CONDENSING_HPIPM,"[0.000389, 0.000183, 0.000199, 0.00018, 0.00018, 0.000204, 0.000183, 0.000179, 0.000196, 0.00018, 0.000179, 0.0002, 0.000182, 0.00018, 0.000184, 0.000181, 0.00018, 0.000181, 0.000215, 0.00018, 0.00018, 0.000183, 0.00018, 0.000181, 0.000217, 0.000182, 0.00018, 0.000181, 0.00018, 0.000182, 0.000183, 0.000181, 0.000195, 0.000185, 0.000181, 0.000182, 0.000196, 0.000182, 0.000181, 0.00019, 0.000181, 0.000196, 0.000227, 0.000186, 0.000181, 0.000381, 0.00046, 0.000219, 0.00037, 0.000197]"
20,30,5,PARTIAL_CONDENSING_HPIPM,"[0.000416, 0.000267, 0.000253, 0.000267, 0.00027, 0.000264, 0.00025, 0.000256, 0.00025, 0.000267, 0.000248, 0.000247, 0.000248, 0.000248, 0.000256, 0.000247, 0.000246, 0.000258, 0.000251, 0.000253, 0.000248, 0.000253, 0.000257, 0.000248, 0.000246, 0.00025, 0.000249, 0.00026, 0.000247, 0.000246, 0.000247, 0.000245, 0.000254, 0.000246, 0.000247, 0.000255, 0.000246, 0.000246, 0.000247, 0.000246, 0.000256, 0.000247, 0.000251, 0.000248, 0.000245, 0.000258, 0.000248, 0.000246, 0.000251, 0.000247]"
20,30,5,FULL_CONDENSING_HPIPM,"[0.000476, 0.00032, 0.000321, 0.000315, 0.000316, 0.000335, 0.000353, 0.00035, 0.000388, 0.000387, 0.000336, 0.000321, 0.000328, 0.00032, 0.000325, 0.000317, 0.000324, 0.000336, 0.000343, 0.00036, 0.00036, 0.000314, 0.000399, 0.000321, 0.000371, 0.00032, 0.000332, 0.000314, 0.000319, 0.000309, 0.000316, 0.000355, 0.000344, 0.000318, 0.000322, 0.00031, 0.00036, 0.000316, 0.000336, 0.000316, 0.000326, 0.000328, 0.000342, 0.000449, 0.000323, 0.000315, 0.000315, 0.000311, 0.000316, 0.00031]"
20,40,5,PARTIAL_CONDENSING_HPIPM,"[0.001023, 0.000586, 0.000521, 0.000437, 0.000433, 0.000417, 0.00042, 0.000432, 0.000434, 0.000533, 0.00048, 0.00044, 0.000434, 0.000428, 0.000462, 0.000429, 0.000424, 0.000444, 0.000454, 0.000553, 0.000479, 0.000428, 0.000428, 0.000427, 0.000425, 0.000427, 0.000426, 0.000574, 0.000486, 0.000527, 0.00051, 0.000439, 0.000438, 0.000444, 0.000428, 0.000431, 0.00043, 0.000441, 0.000489, 0.00055, 0.000529, 0.000469, 0.000506, 0.000427, 0.000429, 0.000427, 0.000425, 0.00045, 0.000483, 0.00055]"
20,40,5,FULL_CONDENSING_HPIPM,"[0.000746, 0.000507, 0.000509, 0.000523, 0.000563, 0.000494, 0.000509, 0.000508, 0.000492, 0.000509, 0.000513, 0.00052, 0.000555, 0.00051, 0.000494, 0.000503, 0.000496, 0.000497, 0.000837, 0.001054, 0.000668, 0.00049, 0.000511, 0.000498, 0.000495, 0.000524, 0.000544, 0.000496, 0.000511, 0.000495, 0.000495, 0.00051, 0.000497, 0.000501, 0.000514, 0.000496, 0.000512, 0.000524, 0.000513, 0.000516, 0.000509, 0.000499, 0.000931, 0.00057, 0.000518, 0.000506, 0.000511, 0.000513, 0.000531, 0.00054]"
20,50,5,PARTIAL_CONDENSING_HPIPM,"[0.001389, 0.000742, 0.000662, 0.000671, 0.000734, 0.000681, 0.000645, 0.000647, 0.001481, 0.000688, 0.000645, 0.000623, 0.000639, 0.000638, 0.000642, 0.000625, 0.000626, 0.00066, 0.00064, 0.000638, 0.000626, 0.000646, 0.000644, 0.000645, 0.000619, 0.000628, 0.000637, 0.000644, 0.000637, 0.000618, 0.000637, 0.00063, 0.000639, 0.000632, 0.000632, 0.000662, 0.000676, 0.000656, 0.000627, 0.000637, 0.000661, 0.000633, 0.000627, 0.000623, 0.000635, 0.000632, 0.000635, 0.00064, 0.000642, 0.000636]"
20,50,5,FULL_CONDENSING_HPIPM,"[0.00117, 0.000765, 0.000752, 0.000763, 0.000766, 0.000741, 0.000765, 0.000746, 0.000755, 0.000805, 0.000744, 0.000746, 0.000754, 0.000753, 0.000749, 0.000735, 0.000733, 0.000751, 0.000756, 0.000756, 0.000748, 0.000757, 0.00076, 0.000747, 0.000736, 0.00074, 0.000764, 0.000753, 0.000744, 0.000747, 0.000745, 0.000749, 0.000758, 0.000823, 0.000765, 0.000747, 0.000742, 0.000751, 0.000777, 0.00075, 0.000749, 0.000747, 0.000749, 0.000747, 0.000747, 0.000737, 0.000745, 0.000747, 0.000742, 0.000746]"
20,60,5,PARTIAL_CONDENSING_HPIPM,"[0.001989, 0.001035, 0.001015, 0.000981, 0.001192, 0.001396, 0.001499, 0.001147, 0.00115, 0.001141, 0.001224, 0.001116, 0.000996, 0.000944, 0.00094, 0.001036, 0.001222, 0.001028, 0.001025, 0.001054, 0.001145, 0.001086, 0.00108, 0.001006, 0.001, 0.001173, 0.001059, 0.00097, 0.000974, 0.001218, 0.001075, 0.000992, 0.001005, 0.00101, 0.001177, 0.001127, 0.001061, 0.001167, 0.00102, 0.001238, 0.000991, 0.001082, 0.00104, 0.001104, 0.001145, 0.001091, 0.001023, 0.001058, 0.001316, 0.001194]"
20,60,5,FULL_CONDENSING_HPIPM,"[0.002398, 0.001908, 0.001876, 0.001929, 0.001898, 0.001875, 0.002086, 0.00191, 0.001876, 0.001929, 0.002065, 0.001884, 0.001892, 0.002097, 0.001927, 0.001907, 0.001888, 0.002043, 0.001959, 0.00197, 0.001897, 0.002031, 0.001894, 0.001894, 0.001915, 0.001962, 0.001928, 0.002008, 0.001961, 0.001988, 0.001916, 0.002036, 0.002055, 0.001949, 0.001944, 0.004861, 0.00256, 0.001876, 0.002026, 0.001909, 0.001967, 0.001938, 0.002044, 0.001919, 0.001868, 0.00191, 0.001973, 0.001877, 0.001914, 0.001919]"
20,70,5,PARTIAL_CONDENSING_HPIPM,"[0.002193, 0.001452, 0.001354, 0.001317, 0.00142, 0.001452, 0.00132, 0.001319, 0.001334, 0.001322, 0.001296, 0.001318, 0.001335, 0.001572, 0.001799, 0.001506, 0.001394, 0.001335, 0.001321, 0.001341, 0.001334, 0.001336, 0.001323, 0.001329, 0.001304, 0.0013, 0.001325, 0.001296, 0.001315, 0.001312, 0.001292, 0.001288, 0.001302, 0.001325, 0.001473, 0.001941, 0.001371, 0.001315, 0.001296, 0.001309, 0.001373, 0.001473, 0.001322, 0.001304, 0.001413, 0.001328, 0.001309, 0.00133, 0.001476, 0.00133]"
20,70,5,FULL_CONDENSING_HPIPM,"[0.003767, 0.001685, 0.00166, 0.002599, 0.001521, 0.002602, 0.002626, 0.00272, 0.002727, 0.001701, 0.001544, 0.002593, 0.001507, 0.001506, 0.002649, 0.002736, 0.001713, 0.002649, 0.002617, 0.002606, 0.002638, 0.002612, 0.002805, 0.001551, 0.001632, 0.002677, 0.002633, 0.001652, 0.001714, 0.001778, 0.001574, 0.00156, 0.002624, 0.002597, 0.002671, 0.001567, 0.001567, 0.002683, 0.001532, 0.002573, 0.003051, 0.002881, 0.003149, 0.002966, 0.002801, 0.001576, 0.001793, 0.002913, 0.001696, 0.002737]"
20,80,5,PARTIAL_CONDENSING_HPIPM,"[0.003426, 0.002489, 0.002253, 0.002625, 0.002667, 0.002565, 0.002269, 0.002112, 0.002225, 0.002177, 0.002751, 0.00206, 0.002418, 0.002279, 0.002227, 0.002168, 0.002429, 0.00253, 0.002148, 0.00242, 0.002115, 0.002274, 0.002226, 0.002399, 0.002365, 0.00222, 0.002339, 0.002151, 0.002116, 0.002822, 0.002201, 0.002558, 0.002163, 0.002248, 0.002232, 0.002042, 0.003189, 0.002292, 0.002561, 0.00219, 0.003152, 0.002193, 0.002589, 0.002222, 0.002314, 0.00224, 0.002034, 0.002308, 0.002247, 0.002438]"
20,80,5,FULL_CONDENSING_HPIPM,"[0.003739, 0.003424, 0.003218, 0.003372, 0.003621, 0.003069, 0.003249, 0.002992, 0.003534, 0.003009, 0.003046, 0.00349, 0.003016, 0.003336, 0.00275, 0.003486, 0.002706, 0.003017, 0.002945, 0.002511, 0.002507, 0.002818, 0.002492, 0.002639, 0.002557, 0.002837, 0.002949, 0.00286, 0.002616, 0.002525, 0.002692, 0.003552, 0.003116, 0.002842, 0.002799, 0.003071, 0.003169, 0.004259, 0.003158, 0.003167, 0.002963, 0.003425, 0.003213, 0.002986, 0.003223, 0.002751, 0.003125, 0.002541, 0.002479, 0.00269]"
20,90,5,PARTIAL_CONDENSING_HPIPM,"[0.004139, 0.002803, 0.002537, 0.002918, 0.002923, 0.002624, 0.002583, 0.002802, 0.002491, 0.002519, 0.002539, 0.002493, 0.002557, 0.002598, 0.003204, 0.002698, 0.002652, 0.002522, 0.002792, 0.00259, 0.002533, 0.004291, 0.002747, 0.002768, 0.003785, 0.002924, 0.002799, 0.003156, 0.002788, 0.002871, 0.002619, 0.00263, 0.002634, 0.002649, 0.00299, 0.002756, 0.00263, 0.002548, 0.002995, 0.002715, 0.003019, 0.00266, 0.002572, 0.00253, 0.002805, 0.002827, 0.00283, 0.002917, 0.00273, 0.002555]"
