N,nx,nu,qp_solver,time_tot
6,10,5,PARTIAL_CONDENSING_HPIPM,"[6.6e-05, 3.4e-05, 3.2e-05, 3.1e-05, 4e-05, 3.1e-05, 3.2e-05, 3.1e-05, 3.7e-05, 3.1e-05, 3.1e-05, 3.2e-05, 3.1e-05, 3.1e-05, 3.3e-05, 3.3e-05, 3.4e-05, 3.4e-05, 3.3e-05, 3.6e-05, 3.4e-05, 3.4e-05, 3.3e-05, 3.3e-05, 3.6e-05, 3.4e-05, 3.4e-05, 3.4e-05, 3.3e-05, 3.3e-05, 3.3e-05, 3.2e-05, 3.4e-05, 3.3e-05, 3.2e-05, 3.4e-05, 3.4e-05, 3.6e-05, 3.4e-05, 3.3e-05, 3.4e-05, 3.2e-05, 3.5e-05, 3.3e-05, 3.1e-05, 4.5e-05, 3.3e-05, 3.2e-05, 3.3e-05, 3.3e-05]"
6,10,5,FULL_CONDENSING_HPIPM,"[7.4e-05, 3.6e-05, 3.5e-05, 4.2e-05, 3.5e-05, 3.4e-05, 3.5e-05, 3.4e-05, 4.2e-05, 3.4e-05, 3.4e-05, 3.3e-05, 3.3e-05, 3.3e-05, 3.4e-05, 3.3e-05, 3.3e-05, 3.8e-05, 3.3e-05, 3.4e-05, 3.3e-05, 3.2e-05, 3.3e-05, 3.3e-05, 3.4e-05, 5.1e-05, 3.5e-05, 3.2e-05, 3.3e-05, 3.4e-05, 3.3e-05, 3.3e-05, 3.2e-05, 3.2e-05, 3.3e-05, 3.5e-05, 3.2e-05, 3.4e-05, 3.4e-05, 3.2e-05, 3.4e-05, 3.4e-05, 4.7e-05, 3.8e-05, 4.5e-05, 3.2e-05, 3.5e-05, 3.2e-05, 3e-05, 3.2e-05]"
7,10,5,PARTIAL_CONDENSING_HPIPM,"[8.1e-05, 3.8e-05, 3.6e-05, 4.6e-05, 3.5e-05, 3.5e-05, 3.6e-05, 3.9e-05, 3.6e-05, 3.7e-05, 3.4e-05, 3.4e-05, 3.4e-05, 3.5e-05, 3.6e-05, 4.2e-05, 3.6e-05, 3.5e-05, 3.4e-05, 3.7e-05, 3.5e-05, 3.5e-05, 3.5e-05, 3.5e-05, 3.4e-05, 5.2e-05, 3.8e-05, 3.6e-05, 3.5e-05, 4.3e-05, 3.5e-05, 3.5e-05, 4.3e-05, 3.7e-05, 3.5e-05, 3.6e-05, 3.4e-05, 3.4e-05, 3.5e-05, 3.4e-05, 3.4e-05, 3.5e-05, 3.4e-05, 3.4e-05, 3.4e-05, 3.4e-05, 4.1e-05, 3.5e-05, 3.5e-05, 3.4e-05]"
7,10,5,FULL_CONDENSING_HPIPM,"[0.000141, 4.7e-05, 3.8e-05, 3.6e-05, 3.6e-05, 9e-05, 7.8e-05, 7.6e-05, 3.6e-05, 3.5e-05, 3.5e-05, 3.5e-05, 3.5e-05, 3.4e-05, 3.7e-05, 3.5e-05, 3.5e-05, 3.6e-05, 4.4e-05, 3.6e-05, 3.5e-05, 3.5e-05, 3.5e-05, 3.5e-05, 3.5e-05, 3.6e-05, 3.5e-05, 3.4e-05, 3.4e-05, 3.5e-05, 3.5e-05, 3.5e-05, 3.5e-05, 3.4e-05, 3.5e-05, 3.5e-05, 4e-05, 3.4e-05, 3.5e-05, 3.5e-05, 3.5e-05, 3.5e-05, 3.6e-05, 3.5e-05, 3.4e-05, 3.4e-05, 3.5e-05, 3.5e-05, 3.5e-05, 3.5e-05]"
8,10,5,PARTIAL_CONDENSING_HPIPM,"[0.000206, 9.3e-05, 8.5e-05, 9.5e-05, 3.8e-05, 3.7e-05, 4.7e-05, 3.7e-05, 4.2e-05, 3.8e-05, 3.7e-05, 3.8e-05, 3.8e-05, 3.8e-05, 4.8e-05, 5.1e-05, 4e-05, 3.8e-05, 3.8e-05, 3.8e-05, 3.7e-05, 3.8e-05, 4.9e-05, 3.8e-05, 3.9e-05, 3.8e-05, 3.8e-05, 3.7e-05, 3.7e-05, 4.2e-05, 3.7e-05, 3.8e-05, 3.7e-05, 3.7e-05, 3.7e-05, 3.7e-05, 3.8e-05, 3.7e-05, 3.8e-05, 3.7e-05, 3.8e-05, 3.8e-05, 3.8e-05, 3.7e-05, 3.7e-05, 3.7e-05, 3.7e-05, 5.7e-05, 3.8e-05, 3.8e-05]"
8,10,5,FULL_CONDENSING_HPIPM,"[0.000129, 9.5e-05, 4.1e-05, 3.9e-05, 3.9e-05, 4e-05, 3.9e-05, 3.9e-05, 3.9e-05, 3.9e-05, 3.9e-05, 4e-05, 3.9e-05, 3.8e-05, 3.8e-05, 3.8e-05, 0.000108, 9.7e-05, 9.1e-05, 8.6e-05, 8.5e-05, 4e-05, 3.9e-05, 3.9e-05, 3.8e-05, 3.8e-05, 4.2e-05, 3.8e-05, 3.8e-05, 3.9e-05, 3.9e-05, 3.9e-05, 4.1e-05, 3.8e-05, 3.8e-05, 3.8e-05, 3.9e-05, 4.7e-05, 3.9e-05, 3.9e-05, 3.8e-05, 3.8e-05, 3.8e-05, 4e-05, 3.8e-05, 3.8e-05, 3.8e-05, 3.9e-05, 3.9e-05, 4.1e-05]"
9,10,5,PARTIAL_CONDENSING_HPIPM,"[9.6e-05, 5.1e-05, 4.6e-05, 4.4e-05, 4.4e-05, 4.3e-05, 4.4e-05, 4.3e-05, 4.4e-05, 4.2e-05, 4.1e-05, 4.2e-05, 5e-05, 4.3e-05, 4.2e-05, 4.3e-05, 6.3e-05, 4.7e-05, 4.2e-05, 4.6e-05, 4.7e-05, 5.7e-05, 4.4e-05, 4.6e-05, 4.2e-05, 4.1e-05, 4.2e-05, 4.6e-05, 4.2e-05, 4.2e-05, 4.2e-05, 4.1e-05, 4.3e-05, 4.2e-05, 4.7e-05, 4.2e-05, 4.2e-05, 4.3e-05, 4.2e-05, 4.2e-05, 4.3e-05, 4.2e-05, 4.3e-05, 4.1e-05, 4.2e-05, 4.2e-05, 4.1e-05, 4.3e-05, 4.2e-05, 4.1e-05]"
9,10,5,FULL_CONDENSING_HPIPM,"[7.9e-05, 4.8e-05, 4.4e-05, 4.4e-05, 4.4e-05, 4.4e-05, 4.7e-05, 4.3e-05, 4.3e-05, 4.3e-05, 4.3e-05, 4.3e-05, 4.3e-05, 4.2e-05, 4.2e-05, 4.2e-05, 4.4e-05, 4.4e-05, 4.3e-05, 4.2e-05, 4.4e-05, 4.3e-05, 4.3e-05, 4.3e-05, 4.3e-05, 4.3e-05, 4.4e-05, 4.4e-05, 4.3e-05, 4.2e-05, 4.3e-05, 4.3e-05, 4.4e-05, 4.3e-05, 4.4e-05, 4.3e-05, 4.3e-05, 4.4e-05, 4.3e-05, 4.3e-05, 4.3e-05, 4.3e-05, 4.9e-05, 4.4e-05, 4.3e-05, 4.4e-05, 4.3e-05, 4.3e-05, 4.4e-05, 4.3e-05]"
10,10,5,PARTIAL_CONDENSING_HPIPM,"[8.3e-05, 4.8e-05, 4.6e-05, 5.2e-05, 4.6e-05, 4.5e-05, 4.5e-05, 4.5e-05, 4.5e-05, 4.6e-05, 4.5e-05, 4.5e-05, 4.5e-05, 4.5e-05, 5e-05, 4.4e-05, 4.4e-05, 4.5e-05, 4.5e-05, 4.7e-05, 4.5e-05, 4.5e-05, 4.5e-05, 4.5e-05, 5.3e-05, 4.5e-05, 4.5e-05, 5.8e-05, 4.8e-05, 4.4e-05, 4.5e-05, 4.5e-05, 4.4e-05, 4.5e-05, 4.5e-05, 5.5e-05, 4.5e-05, 4.5e-05, 4.5e-05, 4.5e-05, 5.2e-05, 4.6e-05, 4.4e-05, 4.5e-05, 4.4e-05, 4.4e-05, 4.8e-05, 4.3e-05, 4.4e-05, 4.4e-05]"
10,10,5,FULL_CONDENSING_HPIPM,"[0.000156, 6.8e-05, 6.5e-05, 5e-05, 5.4e-05, 5e-05, 5.4e-05, 4.9e-05, 4.9e-05, 4.8e-05, 4.8e-05, 5e-05, 4.8e-05, 4.8e-05, 4.9e-05, 4.8e-05, 5.6e-05, 5e-05, 4.8e-05, 4.9e-05, 4.8e-05, 5.4e-05, 4.8e-05, 4.8e-05, 4.8e-05, 4.7e-05, 6.7e-05, 5e-05, 4.8e-05, 4.8e-05, 4.8e-05, 4.8e-05, 6.2e-05, 4.8e-05, 4.8e-05, 4.9e-05, 4.8e-05, 5.7e-05, 4.7e-05, 4.9e-05, 4.8e-05, 4.8e-05, 4.8e-05, 4.8e-05, 4.9e-05, 4.8e-05, 4.8e-05, 4.9e-05, 5.4e-05, 4.9e-05]"
20,10,5,PARTIAL_CONDENSING_HPIPM,"[0.000122, 8.5e-05, 8.4e-05, 8.9e-05, 8e-05, 8e-05, 8e-05, 8.8e-05, 9.3e-05, 8.4e-05, 8.2e-05, 9.6e-05, 8.5e-05, 8.3e-05, 8.3e-05, 0.000122, 0.0001, 8.6e-05, 8.9e-05, 8.3e-05, 8.3e-05, 8.2e-05, 8.1e-05, 8.3e-05, 8.1e-05, 8.2e-05, 7.9e-05, 7.9e-05, 7.9e-05, 7.8e-05, 7.8e-05, 7.8e-05, 8.1e-05, 8.2e-05, 8e-05, 8.1e-05, 9.9e-05, 8.4e-05, 8.2e-05, 8.4e-05, 0.000108, 8.5e-05, 8.3e-05, 8.2e-05, 8.3e-05, 8.3e-05, 0.000103, 8.5e-05, 8.6e-05, 8.3e-05]"
20,10,5,FULL_CONDENSING_HPIPM,"[0.000258, 0.0001, 0.0001, 0.000105, 0.00012, 0.000116, 0.000106, 0.000103, 0.000103, 0.000103, 0.000104, 0.000105, 0.000109, 0.000103, 0.00011, 0.000101, 0.000101, 0.000102, 0.0001, 0.0001, 0.0001, 0.000113, 0.000105, 0.000101, 0.000111, 0.000128, 0.000122, 0.000176, 0.000127, 0.000102, 0.000103, 0.000101, 0.000101, 9.9e-05, 9.8e-05, 9.8e-05, 0.000107, 9.7e-05, 9.7e-05, 9.7e-05, 0.000121, 9.6e-05, 9.7e-05, 9.7e-05, 0.000129, 0.000102, 0.000102, 0.000105, 0.000116, 0.000112]"
30,10,5,PARTIAL_CONDENSING_HPIPM,"[0.000172, 0.000116, 0.000114, 0.000129, 0.000121, 0.00012, 0.00012, 0.000117, 0.000117, 0.000117, 0.000117, 0.000139, 0.00012, 0.000119, 0.000145, 0.000121, 0.000119, 0.00012, 0.000117, 0.00012, 0.000115, 0.000116, 0.000118, 0.000116, 0.000116, 0.000125, 0.000117, 0.000115, 0.000113, 0.000119, 0.000112, 0.000113, 0.000119, 0.00012, 0.000119, 0.00012, 0.000123, 0.000121, 0.00012, 0.000117, 0.000119, 0.000115, 0.000118, 0.000117, 0.000116, 0.000115, 0.000116, 0.000125, 0.000119, 0.000114]"
30,10,5,FULL_CONDENSING_HPIPM,"[0.000272, 0.000171, 0.000168, 0.000167, 0.000167, 0.00036, 0.000434, 0.000171, 0.000194, 0.000169, 0.000172, 0.000167, 0.000173, 0.000167, 0.000165, 0.000166, 0.000177, 0.000167, 0.000167, 0.000199, 0.00024, 0.000167, 0.000187, 0.000185, 0.00017, 0.00017, 0.00018, 0.00017, 0.000169, 0.00018, 0.00017, 0.00017, 0.000183, 0.00017, 0.00017, 0.000176, 0.00017, 0.00017, 0.000182, 0.000169, 0.00017, 0.000177, 0.000167, 0.000172, 0.000185, 0.000167, 0.000165, 0.000166, 0.00017, 0.000166]"
40,10,5,PARTIAL_CONDENSING_HPIPM,"[0.000283, 0.000269, 0.000177, 0.000155, 0.000251, 0.000256, 0.000177, 0.000158, 0.000162, 0.00016, 0.000159, 0.000158, 0.00016, 0.00016, 0.00016, 0.000159, 0.000156, 0.000155, 0.000153, 0.00015, 0.00015, 0.000158, 0.000151, 0.000153, 0.000153, 0.000153, 0.000153, 0.000152, 0.000161, 0.000153, 0.000153, 0.000157, 0.000153, 0.000152, 0.000153, 0.000153, 0.000151, 0.000151, 0.000175, 0.000151, 0.000151, 0.000151, 0.000153, 0.000152, 0.000154, 0.000154, 0.000167, 0.000159, 0.000155, 0.000166]"
40,10,5,FULL_CONDENSING_HPIPM,"[0.00035, 0.000306, 0.000261, 0.000281, 0.00026, 0.000256, 0.000265, 0.000258, 0.000291, 0.000272, 0.000261, 0.000257, 0.000257, 0.000268, 0.000265, 0.000299, 0.00027, 0.000277, 0.000265, 0.000254, 0.000261, 0.000272, 0.000267, 0.000259, 0.000261, 0.000262, 0.000261, 0.000276, 0.000257, 0.00027, 0.000263, 0.000276, 0.000256, 0.000257, 0.000265, 0.00026, 0.000267, 0.000259, 0.000255, 0.000256, 0.000255, 0.000266, 0.000256, 0.000266, 0.000259, 0.000286, 0.00026, 0.000284, 0.00029, 0.000276]"
50,10,5,PARTIAL_CONDENSING_HPIPM,"[0.000283, 0.000201, 0.000195, 0.000205, 0.000195, 0.000193, 0.000195, 0.000194, 0.000195, 0.000194, 0.000188, 0.000185, 0.000188, 0.000186, 0.000198, 0.000198, 0.000188, 0.000204, 0.000187, 0.000186, 0.000198, 0.000187, 0.000184, 0.000206, 0.000187, 0.00019, 0.000201, 0.000196, 0.000194, 0.000196, 0.000197, 0.000195, 0.000198, 0.000197, 0.000212, 0.000194, 0.000194, 0.000198, 0.000195, 0.000193, 0.000197, 0.000194, 0.000195, 0.000195, 0.000195, 0.000209, 0.000195, 0.000196, 0.000203, 0.000205]"
50,10,5,FULL_CONDENSING_HPIPM,"[0.00048, 0.000378, 0.000391, 0.000369, 0.000381, 0.000371, 0.000375, 0.000377, 0.000381, 0.000372, 0.000385, 0.000392, 0.000389, 0.000385, 0.000375, 0.00038, 0.000374, 0.000381, 0.000395, 0.000402, 0.000374, 0.000426, 0.000381, 0.000392, 0.000392, 0.000373, 0.000412, 0.000374, 0.000382, 0.000408, 0.000407, 0.000412, 0.000372, 0.000376, 0.000371, 0.000377, 0.00037, 0.000376, 0.000371, 0.000446, 0.000381, 0.000387, 0.000372, 0.000393, 0.000382, 0.000372, 0.000378, 0.000371, 0.00038, 0.00037]"
60,10,5,PARTIAL_CONDENSING_HPIPM,"[0.000314, 0.000247, 0.000229, 0.000231, 0.000225, 0.000227, 0.000219, 0.00022, 0.000221, 0.000221, 0.00022, 0.000222, 0.00022, 0.000226, 0.000224, 0.000221, 0.00023, 0.000221, 0.000226, 0.00022, 0.000216, 0.000222, 0.000217, 0.000216, 0.000223, 0.000216, 0.000216, 0.000218, 0.000217, 0.000217, 0.000219, 0.000219, 0.000226, 0.000221, 0.000258, 0.000228, 0.000219, 0.000219, 0.000228, 0.00022, 0.000218, 0.000218, 0.000219, 0.000253, 0.00022, 0.000218, 0.000222, 0.000218, 0.000217, 0.000224]"
60,10,5,FULL_CONDENSING_HPIPM,"[0.000934, 0.000553, 0.000516, 0.000512, 0.000523, 0.000547, 0.000515, 0.000542, 0.000544, 0.000512, 0.000524, 0.000542, 0.00051, 0.000523, 0.000525, 0.000525, 0.00052, 0.000567, 0.000522, 0.000516, 0.000529, 0.00051, 0.000511, 0.000519, 0.000508, 0.000527, 0.000513, 0.000505, 0.000507, 0.000618, 0.000524, 0.000527, 0.000515, 0.000529, 0.000511, 0.000512, 0.000515, 0.00051, 0.000509, 0.000539, 0.000512, 0.000514, 0.000523, 0.000525, 0.000518, 0.000527, 0.000519, 0.00051, 0.000521, 0.000517]"
70,10,5,PARTIAL_CONDENSING_HPIPM,"[0.000437, 0.000339, 0.000305, 0.000305, 0.000284, 0.000288, 0.000283, 0.000297, 0.000297, 0.000304, 0.000391, 0.000377, 0.00033, 0.000272, 0.000265, 0.000267, 0.000259, 0.000276, 0.000267, 0.000321, 0.00036, 0.000283, 0.000266, 0.000326, 0.00028, 0.000265, 0.00027, 0.000263, 0.00026, 0.000264, 0.000262, 0.000255, 0.000263, 0.000319, 0.000269, 0.000269, 0.000262, 0.000265, 0.000256, 0.000259, 0.000261, 0.000257, 0.000267, 0.000284, 0.000331, 0.000276, 0.00032, 0.00029, 0.000266, 0.000262]"
